specimen_id,thickness_mm_i_1,thickness_mm_i_2,thickness_mm_i_3,thickness_mm_i_4,thickness_mm_i_5,thickness_mm_i_6,thickness_mm_i_7,thickness_mm_i_8,thickness_mm_i_9,thickness_mm_i_10
072523-BULL-005-B,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-005-C,0.4,0.2,0.4,0.2,0.1,0.1,0.2,0.1,0.2,0.1
072523-BULL-006-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-006-B,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-006-C,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1
072523-BULL-006-D,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2
072523-BULL-007-A,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1
072523-BULL-007-B,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-007-C,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
072523-BULL-008-A,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-008-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-008-C,0.3,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1
072523-BULL-009-A,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-009-B,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.1
072523-BULL-009-C,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1
072523-BULL-010-A,0.3,0.2,0.3,0.1,0.1,0.2,0.2,0.1,0.2,0.1
072523-BULL-010-B,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1
072523-BULL-010-C,0.4,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1
072523-BULL-011-A,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1
072523-BULL-011-B,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.3
072523-BULL-011-C,0.1,0.1,0.6,0.3,0.3,0.1,0.1,0.1,0.5,0.1
072523-BULL-012-A,0.4,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1
072523-BULL-012-B,0.1,0.2,0.3,0.1,0.2,0.1,0.2,0.2,0.1,0.2
072523-BULL-012-C,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.3,0.1
072523-BULL-016-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-016-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-016-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
