specimen_id,thickness_mm_r_1,thickness_mm_r_2,thickness_mm_r_3,thickness_mm_r_4,thickness_mm_r_5,thickness_mm_r_6,thickness_mm_r_7,thickness_mm_r_8,thickness_mm_r_9,thickness_mm_r_10
080723-MOHK-005-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-005-B,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-005-C,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
080723-MOHK-006-A,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-006-B,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.1
080723-MOHK-006-C,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-007-A,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.2
080723-MOHK-007-B,0.4,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1
080723-MOHK-007-C,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1
080723-MOHK-008-A,0.1,0.3,0.1,0.3,2,0.3,0.1,0.2,0.1,0.1
080723-MOHK-008-B,0.4,0.3,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.1
080723-MOHK-008-C,0.1,0.3,0.1,0.3,0.1,0.3,0.1,0.3,0.1,0.1
080723-MOHK-009-A,0.4,0.1,0.1,0.1,0.4,0.2,0.4,0.2,0.1,0.1
080723-MOHK-009-B,0.1,0.4,0.2,0.4,0.1,0.4,0.2,0.2,0.1,0.4
080723-MOHK-009-C,0.1,0.3,0.1,0.1,0.3,0.2,0.1,0.4,0.3,0.1
072523-BULL-001-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-003-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-004-A,0.2,0.1,0.2,0.1,0.1,0.3,0.4,0.2,0.1,0.1
